CensusTract,State,County,Urban,POP2010,OHU2010,NUMGQTRS,PCTGQTRS,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LAPOP1_10,LALOWI1_10,LALOWI05_10,LALOWI1_20,lasnaphalf,lasnaphalfshare,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
17031802004,Illinois,Cook,1,5381,2166,52,0.0096636,1,13.2,53272,342.6427173,154.6868791,2249.676311,154.6868791,398.630429,0.184039903,2265,1259,667,3324,200,1369,0,5,483,1002,115,369
17031802402,Illinois,Cook,1,4821,1951,166,0.0344327,1,25.8,57558,137.3291545,12.29112306,1349.789737,12.29112306,148.3687118,0.07604752,2400,884,1086,3418,82,485,0,48,788,1527,225,277
17031802505,Illinois,Cook,1,6844,2445,3,0.0004383,1,14,52100,114.0221899,58.04871892,2912.217511,58.04871892,325.920721,0.133300908,2875,1704,444,4200,262,767,1,111,1503,3468,58,325
17031802506,Illinois,Cook,1,2508,801,0,0,1,13.3,57311,0.204067335,0.060227733,312.0357235,0.060227733,50.15308372,0.062613088,955,680,226,1756,62,163,1,17,509,1284,35,153
17031803612,Illinois,Cook,1,3536,1340,0,0,1,21.1,40756,238.7395999,87.10595965,1920.451156,87.10595965,200.3528041,0.149517018,1950,925,104,2082,340,314,3,30,767,1390,38,189
17031804405,Illinois,Cook,1,3701,1061,40,0.0108079,1,28.5,50389,699.2659789,463.5419006,2287.207628,463.5419006,164.357485,0.154908091,2116,1341,163,1917,572,204,4,64,940,2146,89,155
17031805105,Illinois,Cook,1,7356,2624,0,0,1,20.7,65174,0.621178508,0.180240363,1604.709116,0.180240363,273.6303334,0.104279853,2540,1921,623,4837,245,632,4,43,1595,3630,234,409
17031806104,Illinois,Cook,1,4206,1709,119,0.0282929,1,24.6,37618,113.0633162,50.73480916,1492.417156,50.73480916,283.6322911,0.165963892,2546,910,524,2468,491,882,0,23,342,635,183,468
17031807000,Illinois,Cook,1,5736,2056,137,0.0238842,1,22.8,49815,661.0294248,179.9229133,2722.962517,179.9229133,401.3461841,0.195207288,2914,1239,828,3086,557,1565,0,13,515,675,323,403
17031808702,Illinois,Cook,1,5504,465,4567,0.8297602,1,40,89063,296.2919922,129.6277466,1488.954527,129.6277466,7.549293061,0.016235039,406,121,171,3677,242,1315,2,2,266,387,118,9
17031811701,Illinois,Cook,1,3858,1099,0,0,1,15.8,51587,1271.835973,559.3318391,1126.968205,559.3318391,146.5495153,0.133348058,1984,1217,275,2320,52,142,9,22,1313,2627,111,237
17031814400,Illinois,Cook,1,7654,2228,2,0.0002613,1,17.7,54583,2296.582686,913.8362354,3220.503309,913.8362354,345.3369031,0.15499861,3174,2416,598,4762,102,43,2,53,2692,6167,107,329
17031819200,Illinois,Cook,1,6107,2210,7,0.0011462,1,16,57052,5074.927457,2272.442938,2686.153988,2272.442938,245.2077458,0.110953731,2956,1503,691,4669,187,72,0,54,1125,2433,82,235
17031820202,Illinois,Cook,1,3536,1448,0,0,1,10.3,58681,1108.53061,474.8538858,948.5023987,474.8538858,153.1999756,0.105801088,1367,789,547,2750,35,11,1,13,726,1143,97,173
17031820604,Illinois,Cook,1,3839,1457,0,0,1,17.4,51591,24.52689028,6.019965857,281.6243577,6.019965857,94.01732985,0.064528023,1759,964,318,3372,146,62,5,13,241,469,50,331
17031820700,Illinois,Cook,1,6786,2826,43,0.0063366,1,9.7,56771,12.14064082,2.80116559,1573.551266,2.80116559,261.4996184,0.092533481,2443,1492,867,4601,167,101,5,32,1880,3452,326,356
17031820901,Illinois,Cook,1,5686,1952,0,0,1,11.4,48649,1964.740479,900.4271084,2167.393926,900.4271084,162.4510122,0.083222855,2310,1345,745,4634,89,147,0,33,783,1514,85,164
17031821500,Illinois,Cook,1,2341,704,8,0.0034173,1,32.9,32276,1794.007814,1114.257447,1453.994076,1114.257447,363.7894815,0.516746423,1254,923,105,66,2224,0,0,1,50,34,146,324
